sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,right ear wenli variance998,face wenli variance559,right ear wenli mean928,face wenli variance1454,face wenli variance935,face wenli variance863
50,0.014412703481075395,-0.0010522334189789016,-0.0006508893177858646,0.00463668313814143,-0.0029171929048441023,0.0004819733191729541,0.005390321874618835,0.001598975166482825,-0.025288091643370945,0.00046674706050280225,-0.0005858483119913962,0.00425442163357857,0.00656481563432076,0.02474923603945589,-0.0014228273946729764,0.002592653360539671,-0.0295788229932715
51,0.01669351463970444,-0.0015726291874464777,-0.0012552286550767313,0.006941312164505282,-0.004596992849106739,8.348413693897343e-05,0.004785832395237153,0.0015797667654871843,-0.031116918750313985,0.0001857849664484703,0.0017621088690487096,0.011318511452788206,0.0013827278594012726,0.016288060751228402,-9.377340076282653e-05,0.0023333746901541114,-0.005997655085943269
52,-0.004174578928213716,-0.00014230862119608763,0.0004058128742705919,0.0006069826143386728,1.997860425512307e-05,0.0011787414532233862,0.006447286593813102,0.0016524393878328836,-0.006128479984426875,-0.006055980087601716,-0.0031358073873883163,0.03019382227361954,0.002147398071926135,0.010364011307302686,-0.00422118667940884,0.004272779144638315,-0.009999360891234507
53,0.00781502811978081,-0.0007075778608462776,-0.000250638346858799,0.0031103386682217672,-0.0018046696630701607,0.0007458907447836557,0.005790672283914245,0.0016309856657949597,-0.009228702118176507,0.0002778494781895143,0.0040566690406079525,-0.012864764769276098,0.00721828878406812,-0.01802196600982877,-0.0024949007611405347,-0.0043441622665764835,-0.009185009381623756
54,0.0002529508368200759,-9.231650311051365e-05,0.0004638690794595182,0.00038558710459289853,0.00018134954972035428,0.0012170225451560276,-0.0016629802867697981,0.0019131978091486992,-0.008062208704799054,0.00015534624602595872,-0.0009500562162806048,-0.013921973264614754,0.006368316715165981,-0.0241983340129955,0.002452510907274576,-0.004030064677309305,-0.018094715414192105
55,-0.003903043133909102,0.0001427147005170556,0.0007368125014654754,-0.000655274037641923,0.0009400132950389714,0.001396995938115801,-0.001218234584562422,0.0018414860420985408,-0.014926376918379003,-3.9416315579717194e-05,-0.0010548352537524722,0.0009175561939426335,0.008289131731089914,-0.004936251559026169,-0.005238417386275334,-0.004702707627909644,-0.004452138511252092
56,0.010853574875595516,-0.0003229968568705669,0.0001959783306014029,0.0014071800369351687,-0.0005632699665560664,0.0010403807830641125,0.0062373999188409055,0.0017402185779074187,-0.010834606946071471,-5.067637968112648e-05,-0.0018197726018343034,-0.0022017160394412955,0.008028656419652199,0.006825696572134137,-0.003802948506992479,-0.0062005975465372985,-0.007578197532015585
57,-0.003710215715316685,0.00014928363070918743,0.0007444410471984913,-0.0006843652564993032,0.0009612173271222867,0.0014020260474653119,0.006785998895538774,0.0014488292173861247,-0.005933628378662311,0.0002620122937501287,0.002799572463631864,0.0015932403607251521,0.008278468999042787,0.03318866453473223,-0.0051750212843511695,0.00036730157243022084,-0.007324259964502571
58,-0.005999515668953738,-0.00036693190945430497,0.0001449562390104525,0.0016017511760462158,-0.0007050891421782402,0.0010067378439082928,0.0061863651513193365,-0.0009564240938675711,0.012786116870771216,0.00019586159259177166,0.0004060263263840525,-0.0027916717550388213,0.00965243818569106,-0.0018169807957241738,-0.003474773050801718,-0.008768197179555697,-0.014180574287353715
59,0.017156410944281456,-0.0008665971579648942,-0.00043530859681128656,0.0038145728493926214,-0.002317972465710415,0.0006241229028682231,0.005605956154476956,-0.0007211275172723653,0.01021858012510999,5.195205618596942e-05,-0.0002692443453997525,0.0028274682915259658,0.010709571905795105,0.003827427195252684,-0.002309366534279141,-0.005939837283749493,-0.028392321600236758
