sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,face wenli variance455,face wenli variance1007,left ear wenli variance894,left ear wenli mean217,right ear wenli mean200
20,-0.00726942050346735,0.00039250132975097,0.0026157539098224905,-0.0009990009118059238,-3.515273063312871e-05,0.002834131917953996,0.010423339751091795,-0.0014409537189596126,-0.0022719832613408986,0.009049528932100322,-0.018808984648881963,0.0015415036560786554,-0.010263041392826026,-0.03579735124672484,-0.013632640630697676,-0.04320505335407068
21,-0.020829050203282413,0.0018168873508124137,0.004427726378776495,-0.004467436830901912,-9.110368310107474e-05,-0.025116793994654305,0.009026960842463693,-0.0011937434465474014,-0.002897262194547936,0.009367926559326684,-0.031729544947707404,0.004438303231596216,0.006317235117010646,0.0005248619292817653,-0.011548418401991145,-0.023022046552762812
22,0.05329619546161263,0.0006525564067471929,0.002946571983688257,-0.0016322452407026781,-4.536788933092391e-05,0.0029553144210565335,0.01714115266471502,-0.0013118538764406102,-0.0024907900556429517,0.01295628125266679,-0.04263793650099076,0.00469715186740587,0.005572054150276483,0.0052159853904786575,-0.010658856811548713,-0.049969489249765874
23,0.07543712291961215,-0.004645524606951665,-0.003793157831938839,0.011268790165766618,0.00016274471117598945,-0.010353510270399975,0.05413240583637165,-0.0012787984057196142,-0.014053523219977066,0.0046833167443970855,-0.01245405893529304,0.00482441511135683,-0.016111250842539143,0.07234294268438969,-0.012185285098733232,-0.0324542566672052
24,-0.02273781817237418,0.0007613696853571559,0.003084994196615443,-0.0018972098489092018,-4.964215662178831e-05,0.0030060200855067634,-0.0010210046542701175,-0.001357227263360698,-0.011644742974368688,0.009321577537641835,-0.019031137772344282,0.006943708302132513,-0.016677442263342168,0.10082312114856806,-0.013472480166106141,0.005845499348419878
25,0.0024679146217408024,0.001088098150573277,0.0035006280030705464,-0.002692806497423218,-6.247629607340229e-05,0.003158271576641139,0.009081441866318265,-0.0016422081535150382,-0.013713471655605174,0.011238680550519528,-0.01897862885225321,0.00010462959607393487,-0.0038595990659382397,0.09110143765007099,-0.01417922418373848,-0.04710532007911635
26,-0.019146037000626323,0.0017256804647626848,0.0043117013939356725,-0.004245344480256661,-8.752100813048288e-05,-0.020638286793424228,0.0648809064981688,-0.001378400645108462,-0.0030434963447085045,0.009593962005659316,-0.032711057838640964,0.006211824589750442,-0.005225764171617608,0.060983565189848155,-0.01835108009818011,-0.034624649251948685
27,-0.012790073650388385,0.0013825001245312645,0.003875139030088394,-0.003409686869759164,-7.404062667467984e-05,0.003295459316002503,0.0014441103389718007,-0.0015006746941342382,-0.005131661210460004,0.002008172123238909,0.0011275752036536166,0.000445118803474794,-0.015369722723681027,-0.05283366800228,-0.012763888467743977,0.003147124055771626
28,0.03260999610271988,2.449886230348499e-05,0.0021476151260501797,-0.00010290044638598839,-2.0697317381531706e-05,0.002662647243752292,0.003211414218343099,-0.0015573614234411998,-0.005023863884578425,0.006423756094910795,-0.009527023235856136,0.004017133929917017,-0.0053134325206450495,-0.013322050768042786,-0.012375145036052602,0.0005743501858515718
29,-0.013677735018399369,0.0006736263519422264,0.0029733752238571827,-0.0016835513849973122,-4.619553259944676e-05,0.0029651327592657294,-0.010451669883496174,-0.0013719914702844708,-0.0174056933963309,0.002753786819908231,-0.01415319373413823,-0.018723126928820836,-0.007472265615448658,0.04283795570620308,-0.01471578514305296,-0.017576197229490692
30,-0.02772672760118425,0.0007783988191449209,0.0031066570893547095,-0.0019386764586815733,-5.031107378401902e-05,0.003013955454744332,-0.010506604915882864,-0.001374967560923058,-0.0022706221839939086,0.009560375758061604,-0.025435206449608196,0.007275553213717827,-0.008915140526527317,0.0037842529104202744,-0.016440240607460615,0.0030555492002915813
31,-0.0015072758041146952,-0.0014671378057503229,0.00025009258915974436,0.01923951595269015,0.00020563477261190433,-0.06006308413463895,0.0637278761627578,-0.0015050867567702763,-0.002644537352758902,0.007380292426493776,-0.01915500496845662,0.0031983270207231428,0.020855569664080368,-0.04158426995802231,-0.011011321860803983,0.029307845114049786
32,-0.04000455509078074,-0.18377469429107596,-0.015275959654444931,0.18686231195440736,0.0033020183038410447,-0.034176699201635484,0.037357547255372194,-0.0015573582460859684,-0.015239511577049957,0.0052022242697818185,-0.002836175071940831,0.005024194392427019,0.03784496513604564,0.11546388551430484,-0.011711496176439328,-0.07541862115673292
33,-0.007946626244424587,0.0006756467576458599,0.0029759453975720107,-0.0016884711522584415,-4.627489565259278e-05,0.002966074243751543,0.019808301454750966,-0.0015604277477588987,-0.00707043422660592,0.005835660899474764,-0.01068693181684274,-0.00015037713048439175,0.001915553426252039,-0.02987195840938819,-0.015068736666387427,0.026540503222012554
34,-0.021613639629643557,0.00010733549615244717,0.002252992248358141,-0.0003046109040922769,-2.3951202560518612e-05,0.0027012481076706357,0.01172558755739339,-0.0013595783618064376,-0.001888431664959219,0.0013525685701314704,0.006100439212793573,-0.000592196694389576,-0.011526926757973144,0.011930230830305564,-0.010765816654993368,0.005246038012671599
35,-0.032511197502874775,0.000626579761986194,0.002913526893069035,-0.0015689910902024473,-4.434750721904647e-05,0.002943209620524648,0.012093485804589113,-0.0014849260206007962,-0.0027622433217265657,0.0020142176478064994,-0.0011888760019035495,-0.0003832928788474365,-0.020735756253742705,-0.01990981984004333,-0.012320768897099202,-0.00923968825368461
36,-0.029459201035266794,0.0013975088526153971,0.003894231749112834,-0.003446233712270408,-7.463018078376457e-05,0.003302453200754258,0.031986323648021085,-0.0017463986864245068,-0.0040639776963874545,-0.0030227119044231553,0.0019899332374573512,0.004555961702418793,-0.007483224159077215,-0.04165925594685221,-0.01650119412150374,0.020865145844482545
37,0.0164301607143879,-0.0014798374987445898,0.00023393721152367944,0.003560217691471824,3.8394144475192665e-05,0.0019616447951724624,-0.009322550664110212,-0.00159388873245307,-0.0026985993449813303,-2.5475168802870163e-05,0.013585653090907465,-0.0008952272865897663,-0.013886666485965002,-0.037008624919623416,-0.012716990524967014,0.01830790087773617
38,-0.01837197883116853,-0.0007181445484748522,0.0012028927020139783,0.0017054654340261652,8.474273439142055e-06,0.002316584446324068,-0.009721926836199685,-0.00160976289547089,-0.0029302002663450866,-0.0014928583263471348,0.007831887193233281,0.004564605998234312,-0.014390759492873346,-0.06650411367255825,-0.009874992073487276,0.01974866337954033
