sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,left ear wenli variance1088,left ear wenli variance262,left ear wenli mean904,face wenli variance535,left ear wenli variance872,left ear wenli variance848,face wenli variance1167
131,-0.017978479049212626,-2.750096808094076e-06,-0.00010141340897862024,-0.0010995443108518797,0.0015762101348979944,-0.0013280004907324538,-0.0020054849452120563,-0.014014654702547818,0.01458396794210571,0.006543591255828921,-0.004676288722770326,0.00038569933050738116,-0.016431939450954888,0.00950722316271852,0.01052707453664694,0.023343947438197152,-0.005419077705151781,0.015893059929505616
132,0.04121491812370492,1.37203883136658e-05,0.00017093374709546095,0.005400339107632547,-0.005306917083559392,0.00019954549146915606,0.000658540748799276,-0.01724316683241699,-0.012127813997616031,0.004951075732377023,-0.0010110023294204271,0.0003079215252049002,-0.01667169972149924,0.011427182652612626,-0.016633798294638482,0.025194189508768932,-0.006522356465146683,0.01057083079876039
133,-0.0061901615016623545,1.139865088700951e-05,0.00013254273549949936,0.004484092713550292,-0.004336647297491211,-1.5782754881669498e-05,-0.0013284772876858328,-0.01532551389187314,-0.010657246346472535,0.006605667819638152,-0.0029976652008984156,-0.002006371176353779,-0.025377285402094725,0.00023585817377426291,-0.01155741480658168,0.017744001400233887,-0.004108756393327279,-0.008765583846016056
134,0.043718494289730736,1.2525479971736526e-05,0.0001511753801567911,0.004928782571143297,-0.004807556799324099,8.8724381871006e-05,-0.001274559306001315,-0.012868438921213648,0.031438046866625484,0.0006278624993061581,0.002189997482240162,-0.0008707346201755713,-0.010802130212346609,0.002939851447619201,0.0036979858506453606,0.021057607122158845,-0.0035110962694736947,0.010712732959181872
135,-0.010268532213775345,2.3658715658080992e-07,-5.202719613437142e-05,7.911542107041381e-05,0.00032805468967530194,-0.0010510021475374715,-0.0018625742114659572,-0.010432287794369168,-0.008823155570159127,-0.04083391334136196,0.03382003797133615,-0.01094497537589622,0.01887978207034263,0.005097425086819105,0.06211678087569333,0.0133909576272211,-0.0019443591574441095,0.016713936984095724
136,-0.010643751375136736,1.8850911563243792e-08,-5.562756653429607e-05,-6.8116295374018e-06,0.00041904814028988696,-0.0010711959744829104,-0.0018729927381352057,-0.009720200024854533,-0.008812457420507276,0.002130450892483068,0.002788255723210625,-0.013344904262049609,0.01930610522013911,0.0008269901483424388,-0.012912328617435402,0.01478393163458517,-0.003301920305677238,2.6961410480108988e-05
137,-0.007891198622046193,-1.2752418654279372e-06,-7.702599438290455e-05,-0.0005175101378668685,0.0009598582713010942,-0.0011912158893473115,-0.0019349141702260184,-0.0093505347236018,-0.009049956342778376,0.0027445055507040917,0.0014946813883462984,-0.01160155304060642,0.0193501883730631,-0.0026453585564932707,0.02075455360069139,0.01568259039769472,-0.005127409811970815,0.02445568776152136
138,0.010749616311596273,4.3906425774269405e-07,-4.867914279751433e-05,0.0001590206298566566,0.00024343813856470545,-0.001032223521402225,-0.001852885824132021,-0.012769185914344398,-0.010113352418172409,0.002583106484800097,0.01961395052803639,-0.00750139327066459,0.021593035031111082,0.0007190998527876571,-0.001489456146497749,0.010299105746134093,-0.0021627799064302057,-0.03050535406856397
139,-0.0027284468632012347,3.113522663524469e-06,-4.455725243723445e-06,0.0012144642137375545,-0.0008742361321917903,-0.0007841823640157964,-0.0017249148644776738,-0.010538683587735912,-0.010220547877683958,-3.8873350904321136e-05,0.003906171255407047,-0.009280913186542485,0.022745335167668336,-0.010038921404613797,-0.012680115371163848,0.019001488574054926,-0.003960230284016735,-0.11928401582593262
140,-0.013154940579108891,4.276738937445797e-06,1.4778598563960068e-05,0.0016735138479820016,-0.0013603520866880337,-0.0006763005176388154,-0.0016692557813012601,-0.012488181324715356,-0.010719937503432383,-0.0007619814320334523,0.007214730261454881,-0.008682064385094362,0.023686705787703242,-0.008801609016195474,-0.022952017838842775,0.011069687111909976,-0.0023759179210222255,-0.10701396952417064
141,-0.005475007003497537,3.877066746456683e-06,8.16983241207689e-06,0.0015157879141169824,-0.0011933263727566808,-0.0007133678927057801,-0.0016883798154299873,-0.009557111214392898,-0.008868622706179495,-0.003723201300230469,0.005180970464623905,-0.010793852697199688,0.01983324300658031,-0.011352186702927536,0.006575410858792117,0.007277643509036253,-0.002287127346783221,-0.11385580913234096
142,-0.0073381394090880235,1.4643613468146186e-06,-3.172537705986398e-05,0.000563642078406125,-0.000185040455030115,-0.0009371329131173686,-0.0018038260772555352,-0.00998389980276581,-0.009020322468242747,-0.0029527808110088975,0.00815094076407994,-0.012354546974325004,0.019425334338384982,-0.009884576729918108,-0.0028928318522254584,0.016742139775636523,-0.0025182469765243276,-0.13577699857264297
