face wenli variance904,face wenli variance544,face wenli variance686,right ear wenli variance398,left ear wenli mean480,left ear wenli variance358,face wenli variance648,face wenli variance179,face wenli variance896,left ear wenli variance512,face wenli variance1163,face wenli variance479,right ear wenli variance1303,left ear wenli variance1400,face wenli variance895,face wenli mean464,right ear wenli variance1182,left ear wenli mean1280,left ear wenli variance472,left ear wenli mean222,left ear wenli variance214,right ear wenli variance1294,face wenli variance1024,face wenli variance128,right ear wenli variance1464,right ear wenli variance1351,left ear wenli variance496,face wenli variance526,left ear wenli variance1184,left ear wenli variance488
0.576722,0.572079,0.494244,0.510034,0.469442,0.348965,0.582595,0.184003,0.574748,0.498477,0.197528,0.3022,0.342437,0.323193,0.30273,0.565416,0.414946,0.506246,0.503455,0.179182,0.365551,0.363437,0.550054,0.198123,0.334398,0.330884,0.504155,0.456496,0.507629,0.519721
0.584049,0.564551,0.50667,0.468707,0.414117,0.469169,0.605362,0.190829,0.588803,0.524074,0.205196,0.29875,0.326644,0.418722,0.308578,0.579086,0.504894,0.499178,0.536341,0.12955,0.300793,0.304968,0.548011,0.203589,0.331567,0.321356,0.516735,0.48998,0.543811,0.521808
0.578173,0.551272,0.514201,0.480304,0.663292,0.488504,0.578816,0.202987,0.579977,0.488634,0.207808,0.28988,0.342642,0.33561,0.311184,0.686444,0.453313,0.537056,0.450291,0.095765,0.260805,0.447736,0.540137,0.218449,0.315508,0.319223,0.475082,0.450064,0.514976,0.468565
0.591168,0.595772,0.519441,0.416725,0.554123,0.486228,0.602017,0.189655,0.595615,0.510922,0.202967,0.306717,0.344536,0.317761,0.309177,0.659708,0.4599,0.519568,0.52357,0.444704,0.484765,0.443406,0.555396,0.201422,0.330345,0.317854,0.474347,0.486798,0.527731,0.482803
0.598786,0.596635,0.566854,0.502078,0.389166,0.495124,0.604931,0.185697,0.592101,0.489191,0.193486,0.309641,0.344407,0.494534,0.316373,0.485579,0.4595,0.500391,0.508638,0.515916,0.498876,0.512638,0.589815,0.425959,0.349113,0.347014,0.519433,0.516131,0.498084,0.517922
0.573252,0.588348,0.513137,0.585634,0.387443,0.537383,0.59495,0.189782,0.575871,0.50873,0.201371,0.304962,0.335459,0.479651,0.304775,0.599765,0.545759,0.505747,0.515547,0.333465,0.425902,0.480357,0.575385,0.203021,0.512908,0.333993,0.514479,0.493536,0.539654,0.51382
0.580065,0.576511,0.50662,0.513115,0.515584,0.472419,0.595668,0.195355,0.579514,0.510462,0.206385,0.303826,0.343846,0.451134,0.310509,0.66592,0.51151,0.681344,0.502202,0.367351,0.342027,0.460377,0.555391,0.21079,0.35819,0.352755,0.50995,0.48103,0.497561,0.511497
0.574015,0.569673,0.515167,0.372216,0.459646,0.430288,0.590602,0.198875,0.581706,0.515388,0.207067,0.299688,0.349624,0.38388,0.309477,0.584924,0.462549,0.432662,0.498841,0.619371,0.341025,0.448397,0.524545,0.211766,0.404123,0.350284,0.48627,0.472638,0.552591,0.497465
0.585741,0.587005,0.521958,0.5015,0.337961,0.539598,0.591603,0.203937,0.584112,0.493147,0.204253,0.301899,0.351233,0.514023,0.309259,0.579438,0.494527,0.552305,0.498487,0.345297,0.489285,0.489004,0.589855,0.207218,0.350315,0.342,0.519386,0.487744,0.489206,0.526311
0.574424,0.585082,0.490655,0.489876,0.495433,0.496584,0.592412,0.1963,0.577313,0.504085,0.207984,0.302537,0.350171,0.35952,0.312563,0.566134,0.509816,0.514294,0.506763,0.167311,0.33648,0.431726,0.556362,0.21153,0.337585,0.332884,0.510994,0.481546,0.530005,0.517715
