feature,abs_r,r,p_value
left ear wenli variance1383,0.05047161024271515,0.05047161024271515,0.5261986670481512
left ear wenli mean266,0.05046731982066021,0.05046731982066021,0.526233878681542
left ear wenli mean71,0.05045982413488802,-0.05045982413488802,0.5262953988799635
left ear wenli mean1197,0.050458110474599804,0.050458110474599804,0.5263094641110062
left ear wenli mean330,0.050457340036971485,0.050457340036971485,0.5263157877035736
face wenli variance1015,0.050454624578043276,0.050454624578043276,0.5263380759348967
left ear wenli mean1293,0.05045294487462565,0.05045294487462565,0.5263518630215489
left ear wenli mean1599,0.050449222940397775,-0.050449222940397775,0.5263824134882368
left ear wenli mean298,0.05044469474999975,0.05044469474999975,0.5264195830952328
left ear wenli mean1220,0.05044367989321629,0.05044367989321629,0.5264279137194615
face wenli variance124,0.050431342114703966,-0.050431342114703966,0.526529195803487
face wenli mean422,0.05043002743158773,0.05043002743158773,0.5265399887525991
left ear wenli mean1170,0.05042871363688117,0.05042871363688117,0.5265507745200714
left ear wenli mean1234,0.05042255845333579,0.05042255845333579,0.526601307783374
right ear wenli variance1592,0.05042093233055319,0.05042093233055319,0.5266146584513816
left ear wenli mean719,0.05041902221115259,-0.05041902221115259,0.5266303409852039
left ear wenli mean1107,0.05041487508572187,-0.05041487508572187,0.5266643906828483
face wenli variance141,0.05039930752423066,-0.05039930752423066,0.5267922170454802
left ear wenli variance104,0.0503918174223839,0.0503918174223839,0.5268537243977472
left ear wenli mean962,0.05038570512453362,0.05038570512453362,0.5269039201650233
left ear guangpu mean167,0.05038538320611052,0.05038538320611052,0.5269065639092113
left ear wenli mean1276,0.05038369462818695,0.05038369462818695,0.5269204314082852
face wenli mean1103,0.050382376131956445,0.050382376131956445,0.5269312597281578
left ear wenli mean559,0.05037409450666068,-0.05037409450666068,0.5269992762134597
right ear wenli variance470,0.05037303287603466,0.05037303287603466,0.5270079956422035
left ear wenli mean1082,0.050372297900180586,0.050372297900180586,0.5270140322191286
left ear wenli mean1122,0.05037001958109573,0.05037001958109573,0.5270327449585818
left ear wenli mean506,0.05034225605624941,0.05034225605624941,0.5272608047948235
left ear wenli mean180,0.050318377041257585,0.050318377041257585,0.5274569957164067
face wenli variance1179,0.0503171972827211,-0.0503171972827211,0.5274666896146206
left ear wenli mean842,0.0503162851367288,0.0503162851367288,0.5274741846425552
left ear wenli mean196,0.05029188797865903,0.05029188797865903,0.5276746740275624
right ear guangpu variance71,0.05028970133000836,0.05028970133000836,0.5276926452061582
face wenli variance798,0.050288237664774124,-0.050288237664774124,0.5277046746498985
left ear wenli mean160,0.05028751675612297,-0.05028751675612297,0.5277105996417338
left ear wenli variance112,0.050287215488781345,0.050287215488781345,0.5277130757026195
right ear wenli mean367,0.050277416753246144,-0.050277416753246144,0.5277936129067207
face wenli mean60,0.050273336973398516,-0.050273336973398516,0.5278271470286144
left ear wenli mean1284,0.050271812507886586,0.050271812507886586,0.5278396777877583
